term,related_lang
Chaturthi,Sanskrit
Chaturvedi,Hindi
Chau,Cantonese
Chaudoin,French
Chausse,French
Chavacano,Spanish
Chavan,Marathi
Chavana,Spanish
Chavarria,Spanish
Chavera,Spanish
Chaves,Spanish
Chaves,Galician
Chaves,Portuguese
Chavez,Spanish
Chaviano,Spanish
Chavismo,Spanish
Chavista,Spanish
Chavolla,Spanish
Chavoya,Spanish
Chawla,Punjabi
Chaya,Hebrew
Chayuco,Spanish
Chazal,French
Che-keang,Mandarin
Cheema,Punjabi
Cheget,Russian
Chekenian,Armenian
Chekiang,Mandarin
Chekist,Russian
Chelm,Polish
Chelyabinsk,Russian
Chemosh,Hebrew
Chenab,Classical Persian
Chenard,French
Chenault,French
Chennai,Tamil
Chenonceaux,Latin
Chenonceaux,French
Chenoweth,Cornish
Cheon,Korean
Cheondoism,Korean
Cheondoist,Korean
Cheops,Latin
Chepiga,Ukrainian
Chepiha,Ukrainian
Cherine,Persian
Cherkasy,Ukrainian
Cherniak,Russian
Cherniak,Ukrainian
Chernivtsi,Ukrainian
Chernov,Russian
Chernyak,Russian
Chernyak,Ukrainian
Chersonese,Latin
Cherukuri,Telugu
Cheshvan,Hebrew
Chevere,Spanish
Chevrolet,French
Cheyenne,French
Chhabra,Punjabi
Chia,Chinese
Chianese,Italian
Chiang Mai,Thai
Chiang Rai,Thai
Chiangchew,Min Nan
Chianti,Italian
Chiappone,Italian
Chiarella,Italian
Chiarelli,Italian
Chiasso,Italian
Chiasson,French
Chiba,Japanese
Chicago,French
Chicana,Spanish
Chicano,Mexican Spanish
Chichibu,Japanese
Chickasaw,Chickasaw
Chiem,Vietnamese
Chienchen,Mandarin
Chieti,Italian
Chihiro,Japanese
Chihuahua,Mexican Spanish
Chilcotin,Chilcotin
Childeric,French
Chilisso,Chilisso
Chillemi,Italian
Chilpancingo,Spanish
Chimaera,Ancient Greek
Chimenti,Italian
Chimento,Italian
Chin,Chinese
Chin,Burmese
China,Portuguese
Chinas,Sanskrit
Chinchilla,Spanish
Chinea,Spanish
Chinen,Japanese
Chinkiang vinegar,Chinese
Chinoiserie,French
Chinook,Lower Chehalis
Chinoy,Tagalog
Chio,Cantonese
Chiodo,Italian
Chione,Ancient Greek
Chios,Latin
Chipewyan,Plains Cree
Chippewa,Ojibwe
Chira,Uyghur
Chirag,Hindi
Chirco,Italian
Chiricahua,Spanish
Chirico,Italian
Chiriqui,Spanish
Chirol,French
Chisa,Japanese
Chisasibi,Cree
Chishti,Classical Persian
Chita,Russian
Chiti,Italian
Chitragupta,Sanskrit
Chitral,Hindi
Chitral,Urdu
Chiumba,Portuguese
Chiumbi,Portuguese
Chiusano,Italian
Chiyoda,Japanese
Chiyoko,Japanese
Chișinău,Romanian
Chișlaz,Romanian
Chleuh,French
Chloe,Ancient Greek
Chloris,Ancient Greek
Chmielewski,Polish
Cho Oyu,Nepali
Choctaw,Choctaw
Choiak,Ancient Greek
Chojnacki,Polish
Chojnowski,Polish
Chokshi,Marathi
Chol HaMoed,Hebrew
Cholewa,Polish
Cholon,Vietnamese
Choma,Polish
Chominski,Polish
Chomolungma,Tibetan
Chomoutov,Czech
Chonburi,Thai
Chopin,French
Chopourian,Armenian
Chopra,Punjabi
Chorasmia,Latin
Chorokh,Armenian
Chorokhi,Georgian
Chorzów,Polish
Chouinard,French
Chovanec,Slovak
Chow,Mandarin
Chow,Cantonese
Chowaniec,Polish
Chowdhury,Bengali
Christensen,Norwegian
Christiansen,Norwegian
Christiansen,Danish
Christine,French
Christkindl,German
Christlieb,German
Christodoulou,Greek
Christoffersen,Norwegian
Christopoulos,Greek
Chrobak,Slovak
Chrobak,Polish
Chrobak,Czech
Chrostowski,Polish
Chrysostom,Koine Greek
Chrzan,Polish
Chud,Russian
Chudskoye,Russian
Chuguchak,Russian
Chukotka,Russian
Chukwu,Igbo
Chumash,Ineseño
Chumphon,Thai
Chung,Korean
Chung,Chinese
Chung-nan-hai,Chinese
Churrabool,Yagara
Churubusco,Spanish
Chuuk,Chuukese
Chwala,Polish
Châteauroux,French
Châtelaillon-Plage,French
Chéticamp,French
Chöd,Tibetan
Chūō,Japanese
Cia-Cia,Cia-Cia
Ciambra,Italian
Ciampa,Italian
Ciancio,Italian
Ciani,Italian
Ciaramella,Italian
Ciaramitaro,Italian
Ciaran,Irish
Ciaravino,Italian
Ciarraige,Middle Irish
Ciattarelli,Italian
Ciavarella,Italian
Cicala,Italian
Cicalese,Italian
Ciccarello,Italian
Cicchetti,Italian
Ciccone,Italian
Cicero,Latin
Ciechowski,Polish
Ciecierega,Polish
Cieplucha,Polish
Cieri,Italian
Ciesielski,Polish
Cieslinski,Polish
Cieszyn,Polish
Cieszynski,Polish
Cifelli,Italian
Ciliberto,Italian
Cillo,Italian
Cima,Italian
Cimarron,Spanish
Cimicata,Italian
Cimmerian,Latin
Cimmino,Italian
Cinco,Tagalog
Cinco de Mayo,Spanish
Cincotta,Italian
Cino,Italian
Cinotti,Italian
Cintora,Spanish
Cintāmaṇicakra,Sanskrit
Ciocca,Italian
Ciolino,Italian
Cionci,Italian
Ciotti,Italian
Cipolla,Italian
Cipollone,Italian
Cipriani,Italian
Circe,Ancient Greek
Circesium,Latin
Cirelli,Italian
Ciret,French
Ciriello,Italian
Cirigliano,Italian
Cirillo,Italian
Cirincione,Italian
Ciron,French
Cirone,Italian
Cirrincione,Italian
Cisek,Polish
Ciskei,Afrikaans
Cislo,Polish
Cisnero,Spanish
Ciszewski,Polish
Citro,Italian
Citroën,French
Ciudad Juárez,Spanish
Ciullo,Italian
Cizik,Slovak
Claire,French
Clara,Latin
Clarin,French
Clarin,Swedish
Clarin,Spanish
Clarissine,French
Clason,Dutch
Claus,German
Clavette,French
Clavius,Latin
Claíomh Solais,Irish
Clemenceau,French
Cleon,Ancient Greek
Clermont,French
Cletus,Latin
Clio,Ancient Greek
Cloelia,Latin
Clos,Catalan
Clos,French
Clotho,Ancient Greek
Clotho,Latin
Clouseau,French
Clovis,Medieval Latin
Cluj,Romanian
Cluj-Napoca,Romanian
Clymene,Ancient Greek
Cnidus,Latin
Coatzacualcos,Spanish
Cobee,French
Cobo,Spanish
Cocca,Italian
Coccimiglio,Italian
Coco,Sicilian
Coco,Italian
Cocopah,Cocopa
Codispoti,Italian
Codrus,Ancient Greek
Coele-Syria,Latin
Coelho,Portuguese
Coeus,Ancient Greek
Cognac,Occitan
Cognac,French
Coimbatore,Tamil
Coimbra,Portuguese
Coin,French
Coiro,Italian
Colantonio,Italian
Colantuono,Italian
Colasanti,Italian
Colato,Italian
Colchado,Spanish
Colditz,German
Colima,Mexican Spanish
Collantes,Spanish
Collazos,Spanish
Colletta,Italian
Colletti,Italian
Colli,Italian
Collura,Italian
Colm,Irish
Cologne,French
Coloma,Spanish
Colombia,Spanish
Colombini,Italian
Colombo,Italian
Colombo,Portuguese
Colonia LeBaron,Spanish
Colonna,Italian
Colophon,Ancient Greek
Colosi,Italian
Colosimo,Italian
Colucci,Italian
Columbus,Latin
Comaneci,Romanian
Comay,Hebrew
Comeaux,French
Comintern,Russian
Commagene,Latin
Comminges,French
Commisso,Italian
Comnenus,Latin
Comoros,French
Comparan,Spanish
Comus,Ancient Greek
Conan,Middle Irish
Conceicao,Portuguese
Conde,Spanish
Confucius,Latin
Congis-sur-Thérouanne,French
Congolese,French
Conigliaro,Italian
Coniglio,Italian
Connacht,Old Irish
Connecticut,Mohegan-Pequot
Connel,Irish
Connell,Irish
Connemara,Irish
Conrad,German
Conrado,Spanish
Consalvo,Italian
Consistorialrath,German
Consoli,Italian
Consoli,Sicilian
Consolo,Italian
Constantinescu,Romanian
Constantinopolis,Latin
Constantinopolitan,Latin
Contini,Italian
Contos,Greek
Contra Costa,Spanish
Contra Costa County,Spanish
Cools,Dutch
Copacabana,Portuguese
Copado,Spanish
Copanaguastla,Spanish
Copenhagen,Low German
Copernicus,Latin
Coppee,French
Coppola,Italian
Corallo,Italian
Corbeau,French
Corbet,French
Cordaro,Italian
Cordelli,Italian
Cordobes,Spanish
Cordts,German
Core,French
Corfu,Italian
Corigliano,Italian
Corio,Italian
Cormag,Old Irish
Cormick,Irish
Cornec,French
Cornelia,Latin
Cornelius,Latin
Cornier,French
Coronado,Spanish
Corralejo,Spanish
Corrales,Spanish
Corrao,Italian
Correale,Italian
Correnti,Italian
Corro,Spanish
Corsalini,Italian
Corse-du-Sud,French
Corsica,Latin
Corsini,Italian
Corsino,Italian
Corso,Italian
Cortazar,Spanish
Corunna,Spanish
Corvus,Latin
Cosenza,Italian
Cosma,Romanian
Cosmas,Latin
Cossack,Middle French
Costa,roa
Costa Daurada,Catalan
Costa Rica,Spanish
Costa del Sol,Spanish
Costales,Spanish
Costantini,Italian
Cotabato,Spanish
Cotard,French
Cote,French
Cotillard,French
Cotnoir,French
Cotroneo,Italian
Cotroni,Italian
Cottian,Latin
Cottier,French
Cottone,Italian
Cotugno,Italian
Courseulles-sur-Mer,French
Courtois,French
Couserans,French
Coushatta,Koasati
Cousy,French
Coutinho,Portuguese
Couto,Galician
Couto,Portuguese
Couture,French
Covarrubias,Spanish
Coxcatlán,Spanish
Cozoyoapan,Spanish
Cozzi,Italian
Cozzolino,Italian
Cramer,German
Crampagna,French
Creach,French
Crecy,French
Creecy,French
Cremona,Italian
Creole,French
Crescenzo,Italian
Crespi,Italian
Crespi,Catalan
Cretella,Italian
Creve Coeur,French
Crevier,French
Criado,Spanish
Crimi,Italian
Criollo,Spanish
Crioulo,Portuguese
Cris,Romanian
Crisafulli,Italian
Criscione,Italian
Crisostomo,Spanish
Cristales,Spanish
Cristescu,Romanian
Cristino,Italian
Critelli,Italian
Cro-Magnon,French
Croatia,Latin
Crocco,Italian
Cronholm,Swedish
Croteau,French
Crotone,Italian
Crow,French
Cruces,Spanish
Crudelli,Italian
Cruz,Portuguese
Cruz,Spanish
Crvelin,Serbo-Croatian
Créteil,French
Cserba,Hungarian
Ctesiphon,Latin
Cuadras,Spanish
Cuadros,Spanish
Cuartas,Spanish
Cuauhtémoc,Spanish
Cuba libre,Spanish
Cubano,Spanish
Cucchiara,Italian
Cucci,Italian
Cucinotta,Italian
Cudjoe,Akan
Cuellar,Spanish
Cuenca,Spanish
Cuernavaca,Spanish
Cuesta,Spanish
Cuestas,Spanish
Cuevas,Spanish
Cugini,Italian
Cukierman,Polish
Culligan,Irish
Culotta,Italian
Cumae,Latin
Cuman,Medieval Latin
Cumbre Vieja,Spanish
Cumpian,Spanish
Cumrun,Persian
Cundi,Sanskrit
Cuneo,Italian
Cunsolo,Sicilian
Cuny,French
Cuoco,Italian
Cuomo,Italian
Cupeño,Spanish
Curatolo,Italian
Curaçao,Portuguese
Curci,Italian
Curcio,Italian
Curie,French
Curreri,Italian
Curro,Italian
Curti,Italian
Cush,Biblical Hebrew
Cushla,Irish
Cusmano,Italian
Cussac,French
Cusumano,Italian
Cutillo,Italian
Cutrona,Italian
Cutrone,Italian
Cuzco,Spanish
Cwik,Polish
Cwm Silicon,Welsh
Cwmbran,Welsh
Cydippe,Ancient Greek
Cygnus,Latin
Cymro-,Welsh
Cymru,Welsh
Cymry,Welsh
Cynic,Latin
Cypriot,Ancient Greek
Cyrenaica,Latin
Cyrene,Ancient Greek
Cyrus,Latin
Cyrus,Ancient Greek
Cyrus,Old Persian
Cyzicus,Latin
Czaja,Polish
Czajkowski,Polish
Czarnecki,Polish
Czarniecki,Polish
Czarnik,Polish
Czartoryski,Polish
Czech,Polish
Czerminski,Polish
Czerwinski,Polish
Czerwonka,Polish
Czochralski,Polish
Czolgosz,Polish
Czorny,Polish
Czyz,Polish
Czyzewski,Polish
Cà Mau,Vietnamese
Córdoba,Spanish
Côte d'Azur,French
Côte d'Ivoire,French
Côte d'Or,French
Côtes-du-Nord,French
Cúchulainn,Irish
Cần Thơ,Vietnamese
D'Alfonso,Italian
D'Amato,Italian
D'Ambrosio,Italian
D'Amelio,Italian
D'Andrea,Italian
D'Angelo,Italian
D'Antoni,Italian
D'Antonio,Italian
D'Arcangelo,Italian
D-mark,German
DKM,German
DUN,Malay
Da Nang,Vietnamese
Dacia,Latin
Dacosta,roa
Dadamo,Italian
Daddona,Italian
Dafni,Greek
Dagan,Hebrew
Dagata,Italian
Dagen,German
Dagestan,Russian
Dagon,Hebrew
Dague,French
Dahl,Swedish
Dahlem,German
Dahlgren,Swedish
Dahlman,Swedish
Dahlquist,Swedish
Dahlstrom,Swedish
Dahomey,Fon
Dai Di,Cantonese
Daibutsu,Japanese
Daidone,Italian
Daignault,French
Daigneault,French
Daigre,French
Daikokuten,Japanese
Dail,Irish
Daillencourt,French
Daimler,German
Daingean,Irish
Dainichi Nyorai,Japanese
Dairen,Japanese
Daisuke,Japanese
Daivajna,Sanskrit
Dakasian,Armenian
Dakota,Dakota
Daksha,Sanskrit
Dakshina Kannada,Kannada
Dalessandro,Italian
Dalessio,Italian
Dalezios,Greek
Dalfonso,Italian
Dalia,Bengali
Dalia,Arabic
Dalia,Italian
Dalit,Hindi
Dallago,Italian
Dallara,Italian
Dalmatia,Latin
Daloia,Italian
Dalí,Catalan
Damadian,Armenian
Daman,Dutch
Damansky,Russian
Damasco,Spanish
Damascus,Latin
Damaso,Spanish
Damato,Italian
Dambrosio,Italian
Damelio,Italian
Damiani,Italian
Damiano,Italian
Damico,Italian
Damiku,Uyghur
Damman,Dutch
Damocles,Ancient Greek
Damocritus,Ancient Greek
Damon,Ancient Greek
Damore,Italian
Damp,German
Damu,Swahili
Danault,French
Danava,Sanskrit
Danbo,Danish
Danbolt,Norwegian
Dancel,Tagalog
Dandrea,Italian
Danes,Slovak
Danes,Dutch
Dang,Vietnamese
Dani,Gujarati
Danic,Medieval Latin
Daniele,Italian
Danielle,French
Daniil,Russian
Danker,German
Danlos,French
Danna,French
Dannenberg,German
Danser,Dutch
Dansker,Danish
Dante,Italian
Dantes,Portuguese
Dantin,French
Dantoni,Italian
Dantonio,Italian
Dantuono,Italian
Danu,Burmese
Danube,Middle French
Danzig,German
Danziger,German
Daoust,French
Daphne,Ancient Greek
Daphnis,Latin
Daponte,Italian
Dar al-Islam,Arabic
Dar es Salaam,Arabic
Daraga,Bikol Central
Darbinyan,Armenian
Darcangelo,Italian
Dardano,Italian
Dardenne,French
Dari,Persian
Darija,Arabic
Dario,Spanish
Darius,Latin
Darjeeling,Nepali
Darko,Serbo-Croatian
Darmstadt,German
Daron,Armenian
Darya Boyi,Uyghur
Daryush,Persian
Das Reich,German
Dasari,Telugu
Dasgupta,Bengali
Dashain,Nepali
Dashami,Sanskrit
Dasharatha,Sanskrit
Dasht-e Kavir,Persian
Dassow,German
Date,Japanese
Date,Marathi
Dato,Spanish
Datta,Bengali
Dauber,German
Daudet,French
Dauenhauer,German
Daugavpils,Latvian
Dauphin,French
Daura,Hausa
Davao,Spanish
Davaoeño,Cebuano
Daversa,Italian
Davidian,Armenian
Davidov,Russian
Davtyan,Armenian
Dawei,Burmese
Dawood,Arabic
Daza,Spanish
De Baca,Spanish
De Carlo,Italian
De Groot,Dutch
De Jong,Dutch
De Lesseps,French
De Pass,French
De Witt,Dutch
De Young,Dutch
De'ang,Mandarin
DeAngelis,Italian
DeAngelo,Italian
DeArcos,Spanish
DeBacker,Dutch
DeBonis,Italian
DeBrito,Portuguese
DeCarlo,Italian
DeCola,Italian
DeFazio,Italian
DeFelice,Italian
DeFilippis,Italian
DeGaetano,Italian
DeGrace,French
DeGroot,Dutch
DeGuia,Spanish
DeJong,Dutch
DeJulio,Portuguese
DeLillo,Italian
DeLisa,Italian
DeLisi,Italian
DeLisio,Italian
DeLorean,Romanian
DeLorenzo,Italian
DeLucia,Italian
DeMarco,Italian
DeMarino,Italian
DeMartino,Italian
DeMary,French
DeMedeiros,Portuguese
DeMille,French
DeMunck,Dutch
DePaola,Italian
DePasquale,Italian
DeRenzo,Italian
DeRienzo,Italian
DeRobertis,Italian
DeSario,Italian
DeSimone,Italian
DeSisto,Italian
DeSouza,Portuguese
DeStefano,Italian
DeTorres,Spanish
DeVargas,Spanish
DeVito,Italian
DeYoung,Dutch
Deanda,Spanish
Deasis,Spanish
Debaun,Dutch
Deboer,Dutch
Debono,Italian
Deborah,Hebrew
Debrosse,French
Debruhl,Dutch
Decameron,Italian
Decarlo,Italian
Decarolis,Italian
Decasas,Spanish
Decastro,Spanish
Deccani,Deccani
Declan,Old Irish
Declercq,Dutch
Decorte,Dutch
Decrescenzo,Italian
Decristofaro,Italian
Ded Moroz,Russian
Dedeian,Armenian
Dedieu,French
Deel,German
Deep,Punjabi
Deepa,Sanskrit
Deepa,Hindi
Deepak,Hindi
Deepavali,Tamil
Defazio,Italian
Defelice,Italian
Defeo,Italian
Defino,Italian
Degante,Spanish
Degar,Rade
Degazon,French
Degen,German
Degeyter,Dutch
Degroot,Dutch
Deguire,French
Dehler,German
Dehnert,German
Dehwari,Dehwari
Deianira,Latin
Deike,German
Deimos,Ancient Greek
Deiss,German
Deiter,German
Deiters,German
Dejong,Dutch
Del Duca,Italian
Del Vecchio,Italian
DelDuca,Italian
DelFierro,Spanish
DelGreco,Italian
DelPrado,Spanish
DelRossi,Italian
DelVecchio,Italian
Delage,French
Delahoz,Spanish
Delaine,French
Delaney,Irish
Delarocha,Spanish
Delarosa,Spanish
Delasancha,Spanish
Delatorre,Spanish
Delaura,Italian
Delavega,Spanish
Delbene,Italian
Delbrück,German
Delcambre,French
Delcamp,French
Delduca,Italian
Delfosse,French
Delfour,French
Delft,Dutch
Delgaudio,Italian
Delgiudice,Italian
Delhi,Mongolian
Delhi,Urdu
Delilah,Hebrew
Delio,Italian
Delisle,French
Delisle,Norman
Delitzsch,German
Deliz,Spanish
Dellapenna,Italian
Dellavecchia,Italian
Delligatti,Italian
Delmar,Catalan
Delo,Serbo-Croatian
Delorbe,Spanish
Delorenzo,Italian
Delphi,Ancient Greek
Delpino,Italian
Delpriore,Italian
Delrosso,Italian
Delsignore,Italian
Deluca,Italian
Delucchi,Italian
Delucia,Italian
Delvecchio,Italian
Delyankir,Russian
Demarco,Italian
Demario,Italian
Demauro,Italian
Dembinski,Polish
Dembski,Polish
Demel,German
Demetriou,Greek
Demir,Turkish
Demirjian,Armenian
Demiurge,Ancient Greek
Demler,German
Democritus,Ancient Greek
Demont,French
Demonte,Italian
Demorest,French
Demory,French
Demosthenes,Latin
Demoura,Portuguese
Demski,Polish
Demuro,Italian
Demus,German
Den Bosch,Dutch
Dena'ina,Dena'ina
Denali,Koyukon
Denault,French
Denbigh,Welsh
Dendron,Ancient Greek
Deneau,French
Deneb Kaitos,Arabic
Denebokab,Arabic
Denhardt,German
Denhartog,Dutch
Deniz,Turkish
Deniz,Spanish
Denning,German
Denova,Spanish
Denpasar,Balinese
Denruyter,Dutch
Dentamaro,Italian
Dentler,German
Denunzio,Italian
Deo volente,Latin
Depalma,Italian
Depasquale,Italian
Deponte,Italian
Depoyan,Armenian
Deprez,French
Deptula,Polish
Derbent,Russian
Dercole,Italian
Dering,German
Deringer,German
Dermot,Irish
Dern,German
Deroche,French
Derosa,Italian
Derousse,French
Deroy,French
Derradji,Arabic
Derrico,Italian
Deruelle,French
Dervish,Persian
Dervish,Turkish
Dervish state,Somali
Desaguadero,Spanish
Desai,Marathi
Desaulniers,French
Desbiens,French
Descalzi,Italian
Descemet,French
Desimone,Italian
Desmarais,French
Desnoyers,French
Desper,French
Despres,French
Desrochers,French
Desta,Amharic
Destefano,Italian
Desvarieux,French
Deter,German
Deterding,German
Detert,German
Dethloff,German
Detlefsen,German
Detroit,French
Detter,German
Dettling,German
Deucalion,Ancient Greek
Deutsch,German
Deutsche Mark,German
Deutscher,German
Deutschland,German
Dev,Hindi
Devaki,Sanskrit
Devanagari,Sanskrit
Devdas,Bengali
Devdas,Hindi
Deveaux,French
Devejyan,Armenian
Devendra,Sanskrit
Devere,French
Devi,Sanskrit
Deville,French
Devincentis,Italian
Devito,Italian
Devlin,Irish
Devor,Irish
Devos,Dutch
Devoy,Irish
Deweerd,Dutch
Dewitt,Dutch
Dexheimer,German
Dexit,German
Deyoung,Dutch
Dhagat,Hindi
Dhaka,Bengali
Dhaliwal,Punjabi
Dhanbidhoo,Dhivehi
Dhanteras,Hindi
Dharuk,Dharug
Dhawan,Punjabi
Dheerasankarabharanam,Sanskrit
Dhenuka,Sanskrit
Dhillon,Punjabi
Dhingra,Punjabi
Dhivehi,Dhivehi
Dhruva,Sanskrit
Dhu al-Qida,Arabic
Dhu'l-Hijja,Arabic
Dhu'l-Qa'da,Arabic
Dhu'l-Qarnayn,Arabic
Dhumal,Marathi
Di,Chinese
Di Carlo,Italian
Di Donato,Italian
Di Lorenzo,Italian
Di Pietro,Italian
DiBari,Italian
DiBartolo,Italian
DiBlasi,Italian
DiBlasio,Italian
DiCaprio,Italian
DiCarlo,Italian
DiCocco,Italian
DiCola,Italian
DiCostanzo,Italian
DiDonato,Italian
DiFalco,Italian
DiFilippo,Italian
DiFiore,Italian
DiFonzo,Italian
DiFranco,Italian
DiGiacomo,Italian
DiGiantommaso,Italian
DiGioia,Italian
DiGiovanni,Italian
DiGiuseppe,Italian
DiIulio,Italian
DiLello,Italian
DiLorenzo,Italian
DiLoreto,Italian
DiLuzio,Italian
DiMaio,Italian
DiMarco,Italian
DiMartino,Italian
DiMatteo,Italian
DiMattia,Italian
DiMuzio,Italian
DiNovo,Italian
DiPalma,Italian
DiPaola,Italian
DiPaolo,Italian
DiPasquale,Italian
DiPerna,Italian
DiPierro,Italian
DiPinto,Italian
DiSalvo,Italian
DiSanto,Italian
DiStasio,Italian
DiStefano,Italian
DiTommaso,Italian
DiVincenzo,Italian
DiVirgilio,Italian
DiVita,Italian
Diablo,Spanish
Diachun,Ukrainian
Diacono,Italian
Diakite,French
Diamant,German
Diana,Late Latin
Dianchi Lake,Mandarin
Diangelo,Italian
Diantonio,Italian
Diawara,Mandinka
Diaz,Spanish
Dibacco,Italian
Dicarlo,Italian
Dicembre,Italian
Dicenso,Italian
Dicenzo,Italian
Didonato,Italian
Didonna,Italian
Didymoteicho,Greek
Die Stem,Afrikaans
Dieck,German
Diederich,German
Diedre,Irish
Diedrich,German
Dieffenbach,German
Diego,Spanish
Diegueño,Spanish
Diekhoff,German
Dien Bien,French
Dien Bien,Vietnamese
Dien Bien Phu,Vietnamese
Dieppa,Spanish
Dieppe,French
Diercks,German
Dietze,German
Dieujuste,French
Difazio,Italian
Digeronimo,Italian
Digilio,Italian
Digiorgio,Italian
Digrazia,Italian
Dike,Ancient Greek
Dilauro,Italian
Dilazak,Urdu
Dileonardo,Italian
Dilger,German
Dilijan,Armenian
Dilly,French
Dilorenzo,Italian
Dilzak,Urdu
Dima,Russian
Dimaano,Tagalog
Dimalanta,Tagalog
Dimare,Italian
Dimartino,Italian
Dimascio,Italian
Dimiceli,Italian
Dimitra,Greek
Dimitri,Italian
Dimitris,Greek
Dimitrov,Bulgarian
Dimitrova,Bulgarian
Dimperio,Italian
Dina,Italian
Ding,Chinese
Dinger,German
Dingmann,German
Dinh,Vietnamese
Dini,Italian
Diniz,Portuguese
Dinka,Dinka
Dinkel,German
Dino,Italian
Diné,Navajo
Dioguardi,Italian
Diomedes,Latin
Dion,Ancient Greek
Dionne,French
Dionysius,Latin
Diorio,Italian
Dioscuri,Latin
Dipa,Hindi
Dipa,Sanskrit
Dipaolo,Italian
Dipasquale,Italian
Diphda,Arabic
Dipietro,Italian
Dircks,German
Dirk,German
Dirksen,German
Dirusso,Italian
Discher,German
Dishel,Russian
Dispenza,Italian
Ditidaht,Ditidaht
Ditta,Urdu
Ditta,Italian
Dittmann,German
Ditzel,German
Dives,Latin
Diviya,Sanskrit
Divje Babe,Slovene
Divje Babe,Slovene
Divya,Sanskrit
Diwali,Hindi
Diwani,Arabic
Dizangue,French
Djahy,Egyptian
Djerba,French
Dlouhy,Czech
Dmitry,Russian
Dnieper,French
Dniester,Russian
Dnipro,Ukrainian
Dnipropetrovsk,Ukrainian
Dnister,Ukrainian
Doan,Vietnamese
Dobberstein,German
Dobek,Polish
Dobermann,German
Dobhashi,Bengali
Dobler,German
Dobrescu,Romanian
Dobrev,Bulgarian
Dobrik,Slovak
Dobrowolski,Polish
Dobry,Polish
Dobry,Czech
Dobrzynski,Polish
Docherty,Irish
Docimo,Italian
Docken,German
Dockstader,German
Dodecanese,Ancient Greek
Dodona,Latin
Dodonovo,Russian
Doell,German
Doenges,German
Dogme,Danish
Dogo Argentino,Spanish
Dogo Argentino,English
Dogra,Dogri
Doha,Arabic
Dohmen,German
Dohn,German
Dohner,German
Dohrmann,German
Doitsu,Japanese
Dojin,Japanese
Dokken,Norwegian
Dol,Uyghur
Dolan,Irish
Doletbagh,Uyghur
Dolezal,Czech
Dolge,Russian
Dolge,German
Dolinsky,Czech
Dollinger,German
Dolmayan,Armenian
Dolores,Spanish
Domanski,Polish
Dombek,Polish
Dome,Hungarian
Dome,French
Domeier,German
Domhnall,Irish
Domin,Polish
Dominguois,French
Domini,Italian
Dommer,German
Domski,Polish
Domzalski,Polish
Don,Russian
Don Quixote,Spanish
Donado,Spanish
Donald,Scottish Gaelic
Donate,Spanish
Donatist,Medieval Latin
Donato,Italian
Donbas,Ukrainian
Donbass,Russian
Donegal,Irish
Dones,Catalan
Donets,Russian
Donetsk,Ukrainian
Dong Zong,Chinese
Donggyeongi,Korean
Donica,Polish
Donikian,Armenian
Donis,Catalan
Donis,Greek
Donna,Italian
Donner,Dutch
Donovan,Irish
Donze,French
Doornbos,Dutch
Dopper,Dutch
Dorazio,Italian
Dorce,French
Dorcely,French
Dorcha,Scottish Gaelic
Dordogne,French
Doren,German
Dorff,German
Doring,German
Dorion,French
Dorland,Dutch
Dornfeld,German
Doroteo,Spanish
Dorpat,German
Dorpian,Dutch
Dorylaeum,Latin
Dosanjh,Punjabi
Dosreis,Portuguese
Dost,German
Dostal,Czech
Douai,French
Doubek,Czech
Doubs,French
Dougla,Caribbean Hindustani
Doukas,Greek
Doukhobor,Russian
Doumbouya,French
Douro,Portuguese
Dovhe,Ukrainian
Dozal,Spanish
Drabek,Czech
Drabek,Polish
Drachenfutter,German
Draco,Latin
Dracula,Romanian
Draganov,Bulgarian
Drago,Italian
Dragun,Polish
Drahos,Slovak
Draskhanakert,Armenian
Dravid,Hindi
Dravidian,Sanskrit
Drechsel,German
Drees,German
Dreimorengesetz,German
Dreiser,German
Drem,Scottish Gaelic
Drenth,Dutch
Drenthe,Dutch
Drents,Dutch
Dresden,German
Dresen,German
Dressen,German
Dressler,German
Drilling,German
Drin,Albanian
Driscoll,Irish
Droban,Ukrainian
Drobny,Polish
Drobny,Czech
Drona,Sanskrit
Dror,Hebrew
Drozd,Polish
Drozdowski,Polish
Drucker,German
Drukpa,Tibetan
Drumpf,German
Druskininkai,Lithuanian
Druze,Arabic
Drzewiecki,Polish
Drzymala,Polish
Drôme,French
Duarte,Portuguese
Duba,Hungarian
Dubach,Alemannic German
Dubai,Arabic
Dubas,French
Dubas,Polish
Dubas,Ukrainian
Dubeau,French
Dubeolsik,Korean
Dublin,Middle Irish
Dubois,French
Dubonnet,French
Dubrow,German
Dubăsari,Romanian
Ducasse,French
Ducat,French
Ducati,Italian
Duchesneau,French
Duchscherer,German
Ducoing,French
Ducre,French
Ducuing,French
Dudinka,Russian
Dueck,German
Duenas,Spanish
Dufaur,French
Dufaux,French
Dufner,German
Dufort,French
Dufour,French
Dugal,French
Dugal,Punjabi
Duggal,Punjabi
Dugin,Russian
Dugo,Italian
Duisburg,German
Dujardin,French
Dujour,French
Dukart,German
Dulcinea,Spanish
Duldulao,Ilocano
Dulle,German
Dulong,French
Dulski,Polish
Dulude,French
Duma,Romanian
Duma,Polish
Duma,Ukrainian
Dumais,French
Dumbrăveni,Romanian
Dumitrescu,Romanian
